epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.5181,1.62586,3.49575,1.65579,0.00411,0.65556,0.09117,0.05027,1.22642,3.89466,1.65643,5.716e-05,5.716e-05,5.716e-05
2,37.2679,1.66105,3.36544,1.66242,0.00771,0.72222,0.34441,0.20332,1.10204,3.82201,1.57359,0.000126064,0.000126064,0.000126064
3,56.3447,1.56451,2.83437,1.58897,0.02041,0.77778,0.38167,0.18442,1.05728,3.74106,1.50053,0.000192138,0.000192138,0.000192138
4,77.0128,1.52915,2.28407,1.55333,0.02706,0.77778,0.45168,0.23494,1.16144,3.69352,1.55736,0.000255382,0.000255382,0.000255382
5,96.481,1.46999,2.20752,1.50902,0.03437,0.77778,0.49331,0.2611,1.2344,3.77721,1.63893,0.000315798,0.000315798,0.000315798
6,114.399,1.3942,2.09015,1.4984,0.02329,0.77778,0.50482,0.26747,1.27772,3.78689,1.64281,0.000373383,0.000373383,0.000373383
7,138.611,1.43456,1.94757,1.4682,0.88683,0.27194,0.47075,0.28932,1.33219,3.53607,1.76761,0.00042814,0.00042814,0.00042814
8,162.494,1.40781,1.8059,1.43584,0.98082,0.16299,0.49526,0.28893,1.30942,3.4944,1.72552,0.000480067,0.000480067,0.000480067
9,189.047,1.42605,1.94317,1.48964,0.8717,0.32828,0.51231,0.32626,1.2765,3.26517,1.74259,0.000529164,0.000529164,0.000529164
10,215.825,1.34751,1.68003,1.42824,0.97445,0.27273,0.53149,0.34608,1.24134,3.22343,1.67963,0.000575433,0.000575433,0.000575433
11,238.244,1.36662,1.66418,1.44533,0.98424,0.30303,0.47544,0.31762,1.23638,3.16281,1.69798,0.000618871,0.000618871,0.000618871
12,259.493,1.35286,1.63941,1.45289,0.9358,0.30303,0.52439,0.29374,1.39992,3.13581,2.09124,0.000659481,0.000659481,0.000659481
13,282.557,1.32123,1.53061,1.41711,1,0.25862,0.59457,0.33863,1.51854,3.12566,2.1383,0.000697261,0.000697261,0.000697261
14,306.895,1.43501,1.67291,1.50371,0.76193,0.35859,0.63617,0.34387,1.5691,3.00324,2.02275,0.000732211,0.000732211,0.000732211
15,327.189,1.40072,1.53007,1.42707,0.64529,0.52449,0.5555,0.29058,1.72135,2.95371,2.02244,0.000764332,0.000764332,0.000764332
16,347.561,1.54437,1.81283,1.57267,0.63965,0.55832,0.55886,0.28183,1.9134,2.83809,2.15092,0.000793624,0.000793624,0.000793624
17,368.824,1.32236,1.67939,1.40541,0.5724,0.53562,0.50415,0.25983,1.66621,2.79276,1.96469,0.000820086,0.000820086,0.000820086
18,391.111,1.27497,1.47175,1.39532,0.60598,0.55859,0.52657,0.26126,1.81746,2.7039,2.11119,0.000843719,0.000843719,0.000843719
19,412.998,1.30571,1.50845,1.45094,0.73,0.52386,0.6216,0.29206,1.77622,2.62103,2.08416,0.000864522,0.000864522,0.000864522
20,433.209,1.31595,1.46278,1.43939,0.74859,0.6718,0.79111,0.44831,1.49517,2.24927,1.84397,0.000882496,0.000882496,0.000882496
21,451.868,1.38733,1.43657,1.4593,0.66825,0.62383,0.77278,0.47901,1.42945,2.25294,1.8376,0.000863116,0.000863116,0.000863116
22,470.69,1.27978,1.49693,1.37766,0.73804,0.56895,0.74736,0.4579,1.44463,2.2127,1.9096,0.000834822,0.000834822,0.000834822
23,490.519,1.35029,1.4549,1.44594,0.65454,0.54839,0.67757,0.39283,1.52141,2.27462,1.93817,0.000806528,0.000806528,0.000806528
24,511.32,1.31324,1.40608,1.40091,0.7391,0.46768,0.69387,0.38332,1.53574,2.1745,1.87759,0.000778233,0.000778233,0.000778233
25,531.134,1.20493,1.3588,1.34728,0.71571,0.83187,0.77541,0.4726,1.44576,2.07455,1.76454,0.000749939,0.000749939,0.000749939
26,551.802,1.23267,1.30756,1.36667,0.69749,0.77476,0.80882,0.48861,1.42218,1.99463,1.74613,0.000721645,0.000721645,0.000721645
27,571.56,1.25324,1.37078,1.38949,0.72232,0.86166,0.85556,0.48698,1.52099,1.99154,1.78861,0.000693351,0.000693351,0.000693351
28,592.859,1.20817,1.32919,1.36414,0.7725,0.76718,0.83994,0.45591,1.65952,1.952,1.9462,0.000665057,0.000665057,0.000665057
29,616.123,1.25578,1.22967,1.35499,0.59158,0.94294,0.86571,0.47215,1.62185,1.77876,1.85347,0.000636762,0.000636762,0.000636762
30,635.924,1.19254,1.35829,1.36771,0.65982,0.88889,0.86244,0.49591,1.5747,1.68675,1.79695,0.000608468,0.000608468,0.000608468
31,656.291,1.17527,1.22538,1.3403,0.72793,0.8459,0.86223,0.50512,1.4812,1.73854,1.72601,0.000580174,0.000580174,0.000580174
32,678.955,1.14075,1.15164,1.2762,0.79511,0.77128,0.90453,0.51745,1.48936,1.72826,1.78399,0.00055188,0.00055188,0.00055188
33,701.472,1.18627,1.21673,1.30811,0.71829,0.88889,0.88716,0.52681,1.45101,1.72215,1.7471,0.000523586,0.000523586,0.000523586
34,724.166,1.24075,1.29484,1.38509,0.79881,0.9101,0.90453,0.52698,1.4153,1.68465,1.73023,0.000495291,0.000495291,0.000495291
35,744.403,1.13033,1.21363,1.31188,0.8508,0.94444,0.9298,0.54513,1.42872,1.63251,1.77507,0.000466997,0.000466997,0.000466997
36,765.079,1.18749,1.20012,1.31084,0.92909,0.82082,0.91275,0.51996,1.39582,1.56863,1.74078,0.000438703,0.000438703,0.000438703
37,784.929,1.12753,1.05842,1.24938,0.77746,0.90152,0.88679,0.5261,1.38611,1.57059,1.75979,0.000410409,0.000410409,0.000410409
38,805.685,1.05642,1.07638,1.23967,0.92146,0.76596,0.8386,0.51032,1.42006,1.60901,1.76686,0.000382115,0.000382115,0.000382115
39,828.855,1.12154,1.1284,1.2988,0.90846,0.74242,0.84124,0.51341,1.44145,1.59523,1.75259,0.00035382,0.00035382,0.00035382
40,849.439,1.12378,1.16741,1.28451,0.91285,0.76247,0.83685,0.48487,1.54966,1.84083,1.81988,0.000325526,0.000325526,0.000325526
41,869.189,1.03667,1.29799,1.25102,0.88616,0.77273,0.83702,0.4859,1.50501,1.77628,1.79535,0.000297232,0.000297232,0.000297232
42,887.922,0.99522,1.258,1.29672,0.87717,0.77146,0.84091,0.52168,1.41677,1.78338,1.69883,0.000268938,0.000268938,0.000268938
43,910.606,0.99499,1.24599,1.28279,0.98543,0.77273,0.86427,0.51114,1.36686,1.63938,1.65515,0.000240644,0.000240644,0.000240644
44,929.684,1.02043,1.22161,1.28135,0.84613,0.83251,0.8851,0.49343,1.46339,1.65335,1.71986,0.000212349,0.000212349,0.000212349
45,946.676,0.921,1.20396,1.21632,0.85885,0.83,0.89557,0.47598,1.48671,1.64931,1.75564,0.000184055,0.000184055,0.000184055
46,964.247,0.95502,1.17235,1.18687,0.86695,0.83242,0.88335,0.4812,1.48652,1.62829,1.7757,0.000155761,0.000155761,0.000155761
47,983.718,0.95569,1.1725,1.21506,0.89243,0.83386,0.86867,0.50017,1.44551,1.59618,1.76362,0.000127467,0.000127467,0.000127467
48,1003.14,0.90508,1.16363,1.21839,0.91121,0.82721,0.88491,0.51266,1.39625,1.5264,1.75317,9.91726e-05,9.91726e-05,9.91726e-05
49,1021.77,0.92611,1.12989,1.22911,0.83281,0.84671,0.87178,0.51658,1.39769,1.48499,1.75479,7.08784e-05,7.08784e-05,7.08784e-05
50,1039.17,0.87445,1.11512,1.16274,0.83899,0.848,0.86928,0.51193,1.40758,1.47087,1.76801,4.25842e-05,4.25842e-05,4.25842e-05
